# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.280e-07 7.790e-07 6.683e-07 2.448e-08
      13 6.820e-07 7.750e-07 7.246e-07 2.072e-08
      16 7.580e-07 8.580e-07 8.059e-07 2.365e-08
      20 8.490e-07 9.730e-07 9.086e-07 2.908e-08
      25 9.800e-07 1.123e-06 1.051e-06 3.382e-08
      32 1.166e-06 1.331e-06 1.245e-06 3.987e-08
      40 1.391e-06 1.599e-06 1.490e-06 5.023e-08
      50 1.730e-06 1.963e-06 1.848e-06 5.606e-08
      63 2.150e-06 2.427e-06 2.284e-06 6.599e-08
      79 2.680e-06 2.997e-06 2.842e-06 7.302e-08
     100 3.473e-06 3.860e-06 3.659e-06 9.120e-08
     126 4.485e-06 4.901e-06 4.698e-06 9.995e-08
     158 5.876e-06 6.364e-06 6.122e-06 1.160e-07
     200 7.712e-06 8.274e-06 7.996e-06 1.363e-07
     251 9.941e-06 1.063e-05 1.029e-05 1.626e-07
     316 1.301e-05 1.378e-05 1.340e-05 1.804e-07
     398 1.714e-05 1.806e-05 1.759e-05 2.105e-07
     501 2.261e-05 2.369e-05 2.312e-05 2.530e-07
     631 2.950e-05 3.079e-05 3.014e-05 2.969e-07
     794 3.856e-05 4.013e-05 3.928e-05 3.603e-07
    1000 5.033e-05 5.252e-05 5.120e-05 4.440e-07
    1259 6.613e-05 6.843e-05 6.719e-05 5.199e-07
    1585 8.683e-05 8.957e-05 8.803e-05 6.276e-07
    1995 1.132e-04 1.165e-04 1.147e-04 7.421e-07
    2512 1.476e-04 1.515e-04 1.495e-04 9.339e-07
    3162 1.920e-04 1.968e-04 1.941e-04 1.133e-06
    3981 2.512e-04 2.574e-04 2.540e-04 1.489e-06
    5012 3.283e-04 3.356e-04 3.316e-04 1.749e-06
    6310 4.260e-04 4.353e-04 4.301e-04 2.181e-06
    7943 5.542e-04 5.653e-04 5.591e-04 2.716e-06
   10000 7.200e-04 7.338e-04 7.261e-04 3.340e-06
   12589 9.393e-04 9.576e-04 9.477e-04 4.193e-06
   15849 1.223e-03 1.248e-03 1.234e-03 5.921e-06
   19953 1.583e-03 1.615e-03 1.598e-03 7.396e-06
   25119 2.058e-03 2.102e-03 2.077e-03 1.035e-05
   31623 2.669e-03 2.728e-03 2.694e-03 1.350e-05
   39811 3.467e-03 3.545e-03 3.500e-03 1.870e-05
   50119 4.507e-03 4.613e-03 4.551e-03 2.420e-05
   63096 5.838e-03 5.985e-03 5.900e-03 3.451e-05
   79433 7.566e-03 7.769e-03 7.646e-03 4.626e-05
  100000 9.813e-03 1.009e-02 9.928e-03 6.554e-05
  125893 1.274e-02 1.309e-02 1.289e-02 8.620e-05
  158489 1.650e-02 1.701e-02 1.671e-02 1.162e-04
  199526 2.136e-02 2.205e-02 2.165e-02 1.604e-04
  251189 2.763e-02 2.858e-02 2.803e-02 2.207e-04
  316228 3.589e-02 3.713e-02 3.641e-02 2.891e-04
  398107 4.655e-02 4.810e-02 4.723e-02 3.868e-04
  501187 6.019e-02 6.232e-02 6.115e-02 4.956e-04
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.950e-07 6.380e-07 6.146e-07 9.820e-09
      13 6.380e-07 6.840e-07 6.582e-07 1.104e-08
      16 6.730e-07 7.300e-07 6.985e-07 1.314e-08
      20 7.810e-07 8.680e-07 8.232e-07 2.080e-08
      25 8.650e-07 9.860e-07 9.180e-07 2.864e-08
      32 1.009e-06 1.172e-06 1.085e-06 4.002e-08
      40 1.211e-06 1.390e-06 1.290e-06 4.187e-08
      50 1.462e-06 1.666e-06 1.559e-06 4.853e-08
      63 1.802e-06 2.070e-06 1.933e-06 6.245e-08
      79 2.264e-06 2.572e-06 2.416e-06 7.086e-08
     100 2.933e-06 3.295e-06 3.104e-06 8.705e-08
     126 3.783e-06 4.222e-06 3.995e-06 1.030e-07
     158 4.879e-06 5.379e-06 5.121e-06 1.180e-07
     200 6.376e-06 6.941e-06 6.655e-06 1.368e-07
     251 8.246e-06 8.962e-06 8.611e-06 1.689e-07
     316 1.081e-05 1.168e-05 1.122e-05 1.974e-07
     398 1.410e-05 1.513e-05 1.460e-05 2.466e-07
     501 1.844e-05 1.967e-05 1.906e-05 2.929e-07
     631 2.405e-05 2.557e-05 2.485e-05 3.561e-07
     794 3.146e-05 3.333e-05 3.240e-05 4.447e-07
    1000 4.110e-05 4.330e-05 4.225e-05 5.186e-07
    1259 5.363e-05 5.643e-05 5.508e-05 6.859e-07
    1585 6.990e-05 7.340e-05 7.174e-05 8.052e-07
    1995 9.094e-05 9.551e-05 9.332e-05 1.049e-06
    2512 1.185e-04 1.243e-04 1.215e-04 1.311e-06
    3162 1.544e-04 1.609e-04 1.578e-04 1.509e-06
    3981 2.004e-04 2.087e-04 2.048e-04 2.015e-06
    5012 2.602e-04 2.705e-04 2.656e-04 2.457e-06
    6310 3.379e-04 3.503e-04 3.445e-04 2.985e-06
    7943 4.373e-04 4.532e-04 4.458e-04 3.889e-06
   10000 5.668e-04 5.868e-04 5.772e-04 4.811e-06
   12589 7.339e-04 7.582e-04 7.469e-04 5.697e-06
   15849 9.475e-04 9.787e-04 9.644e-04 7.775e-06
   19953 1.225e-03 1.264e-03 1.246e-03 9.589e-06
   25119 1.582e-03 1.632e-03 1.609e-03 1.153e-05
   31623 2.040e-03 2.104e-03 2.075e-03 1.603e-05
   39811 2.633e-03 2.713e-03 2.675e-03 1.930e-05
   50119 3.392e-03 3.493e-03 3.447e-03 2.407e-05
   63096 4.380e-03 4.497e-03 4.442e-03 2.866e-05
   79433 5.628e-03 5.786e-03 5.717e-03 3.757e-05
  100000 7.257e-03 7.450e-03 7.356e-03 4.759e-05
  125893 9.328e-03 9.566e-03 9.461e-03 5.989e-05
  158489 1.199e-02 1.230e-02 1.216e-02 7.655e-05
  199526 1.541e-02 1.581e-02 1.563e-02 9.550e-05
  251189 1.981e-02 2.030e-02 2.008e-02 1.178e-04
  316228 2.544e-02 2.607e-02 2.579e-02 1.518e-04
  398107 3.266e-02 3.344e-02 3.308e-02 1.897e-04
  501187 4.189e-02 4.291e-02 4.245e-02 2.380e-04
  630957 5.375e-02 5.503e-02 5.443e-02 2.975e-04
  794328 6.896e-02 7.053e-02 6.980e-02 3.718e-04
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.020e-07 6.500e-07 6.240e-07 1.105e-08
      13 6.350e-07 6.850e-07 6.573e-07 1.146e-08
      16 6.710e-07 7.260e-07 6.968e-07 1.318e-08
      20 7.230e-07 7.870e-07 7.504e-07 1.511e-08
      25 7.990e-07 8.890e-07 8.348e-07 2.071e-08
      32 9.120e-07 1.017e-06 9.578e-07 2.529e-08
      40 1.152e-06 1.283e-06 1.208e-06 2.995e-08
      50 1.346e-06 1.486e-06 1.411e-06 3.227e-08
      63 1.616e-06 1.783e-06 1.700e-06 4.014e-08
      79 2.087e-06 2.309e-06 2.194e-06 5.199e-08
     100 2.700e-06 2.959e-06 2.824e-06 5.899e-08
     126 3.405e-06 3.698e-06 3.547e-06 7.035e-08
     158 4.512e-06 4.857e-06 4.674e-06 8.076e-08
     200 5.936e-06 6.325e-06 6.125e-06 9.204e-08
     251 7.532e-06 8.052e-06 7.772e-06 1.191e-07
     316 1.014e-05 1.066e-05 1.041e-05 1.275e-07
     398 1.337e-05 1.405e-05 1.369e-05 1.560e-07
     501 1.709e-05 1.786e-05 1.747e-05 1.721e-07
     631 2.286e-05 2.382e-05 2.331e-05 2.237e-07
     794 3.012e-05 3.114e-05 3.061e-05 2.416e-07
    1000 3.867e-05 3.984e-05 3.920e-05 2.743e-07
    1259 5.107e-05 5.263e-05 5.174e-05 3.475e-07
    1585 6.748e-05 6.915e-05 6.821e-05 3.708e-07
    1995 8.630e-05 8.833e-05 8.722e-05 4.545e-07
    2512 1.130e-04 1.157e-04 1.141e-04 5.877e-07
    3162 1.495e-04 1.524e-04 1.507e-04 6.482e-07
    3981 1.912e-04 1.948e-04 1.927e-04 8.017e-07
    5012 2.485e-04 2.530e-04 2.504e-04 1.016e-06
    6310 3.290e-04 3.331e-04 3.309e-04 9.690e-07
    7943 4.202e-04 4.253e-04 4.225e-04 1.226e-06
   10000 5.422e-04 5.485e-04 5.448e-04 1.465e-06
   12589 7.175e-04 7.239e-04 7.205e-04 1.508e-06
   15849 9.157e-04 9.257e-04 9.196e-04 2.155e-06
   19953 1.175e-03 1.186e-03 1.180e-03 2.411e-06
   25119 1.554e-03 1.564e-03 1.559e-03 2.226e-06
   31623 1.983e-03 1.998e-03 1.989e-03 3.170e-06
   39811 2.542e-03 2.559e-03 2.550e-03 3.932e-06
   50119 3.349e-03 3.364e-03 3.356e-03 3.480e-06
   63096 4.266e-03 4.286e-03 4.275e-03 4.425e-06
   79433 5.465e-03 5.492e-03 5.476e-03 6.175e-06
  100000 7.174e-03 7.196e-03 7.184e-03 5.105e-06
  125893 9.129e-03 9.158e-03 9.142e-03 6.597e-06
  158489 1.168e-02 1.172e-02 1.170e-02 9.348e-06
  199526 1.530e-02 1.534e-02 1.531e-02 8.414e-06
  251189 1.948e-02 1.953e-02 1.950e-02 1.097e-05
  316228 2.487e-02 2.494e-02 2.490e-02 1.544e-05
  398107 3.248e-02 3.256e-02 3.251e-02 1.656e-05
  501187 4.129e-02 4.139e-02 4.132e-02 2.096e-05
  630957 5.273e-02 5.287e-02 5.278e-02 2.735e-05
  794328 6.879e-02 6.897e-02 6.885e-02 3.375e-05
#------- --------- --------- --------- ---------


# heap_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.460e-07 7.460e-07 6.865e-07 2.020e-08
      13 7.290e-07 8.340e-07 7.781e-07 2.419e-08
      16 8.220e-07 9.370e-07 8.769e-07 2.694e-08
